,PLAYER,Team,Pos,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ON NET,TOTAL FACEOFF,FACEOFF WINS,PLSMNS,Opponent Score,PEN MIN,BLOCKS
160,Aku Koskenvuo,Harvard,G,21,0,0,0,0,0,0,0,1,0,0,0,67,0,0
161,Ryan Fine,Harvard,F,24,1,4,5,0,0,0,0,30,12,5,-9,73,2,7
162,Matthew Morden,Harvard,D,31,1,5,6,0,0,0,0,29,0,0,-1,91,6,24
163,Michael Callow,Harvard,F,30,3,5,8,0,0,0,0,48,7,0,2,92,14,13
164,Ben  MacDonald,Harvard,F,27,5,11,16,2,1,0,0,60,157,66,5,82,18,19
165,CamÂ Cameron Johnson,Harvard,F,31,5,4,9,0,1,0,0,43,95,51,-13,93,2,20
166,Will Hughes,Harvard,F,31,1,1,2,0,0,0,0,24,308,138,-7,92,6,8
167,Justin Solovey,Harvard,F,33,5,7,12,0,0,0,2,59,8,2,4,97,16,22
168,Lucas St. Louis,Harvard,D,33,2,9,11,1,1,0,0,35,0,0,-6,97,12,39
169,Mick Thompson,Harvard,F,33,14,18,32,3,2,2,2,80,2,0,-5,97,2,18
170,Alex Gaffney,Harvard,F,4,0,0,0,0,0,0,0,3,1,0,0,10,0,1
171,Ben Charette,Harvard,G,16,0,0,0,0,0,0,0,0,0,0,0,51,0,0
172,Tommy Lyons,Harvard,F,13,0,2,2,0,0,0,0,7,33,16,0,38,0,2
173,Evan Zhang,Harvard,G,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0
174,Christian Jimenez,Harvard,D,4,0,0,0,0,0,0,0,1,0,0,-1,9,0,3
175,Salvatore Guzzo,Harvard,F,21,3,0,3,0,0,0,0,21,0,0,-3,59,8,5
176,Sean Keohane,Harvard,D,11,0,2,2,0,0,0,0,7,0,0,-3,33,12,15
177,Luke Khozozian,Harvard,F,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
178,Ross Mitton,Maine,F,29,4,7,11,1,1,0,0,51,8,3,10,60,38,21
179,Taylor Makar,Maine,F,35,16,12,28,2,6,2,1,100,29,13,24,75,47,22
180,Harrison Scott,Maine,F,35,17,15,32,6,1,1,2,133,743,421,13,75,24,44
181,David Breazeale,Maine,D,35,3,8,11,0,2,0,0,69,1,0,15,75,10,38
182,Nolan Renwick,Maine,F,35,8,13,21,2,0,0,1,68,696,392,25,75,22,19
183,Nicholas Niemo,Maine,F,20,3,2,5,0,0,0,0,24,2,0,0,52,21,6
184,Owen Fowler,Maine,F,35,8,10,18,1,1,2,1,87,115,44,5,75,14,37
185,Luke Antonacci,Maine,D,27,1,2,3,0,0,0,0,23,0,0,10,63,4,11
186,Brandon Holt,Maine,D,31,4,16,20,1,0,0,0,75,0,0,9,69,12,43
187,Brandon Chabrier,Maine,D,34,0,10,10,0,0,0,0,59,1,1,10,74,23,38
188,Grayson Arnott,Maine,D,20,2,0,2,0,1,0,0,24,0,0,4,36,4,13
189,Thomas Freel,Maine,F,35,11,7,18,8,2,0,0,87,19,8,9,75,16,13
190,Charlie Russell,Maine,F,32,7,17,24,1,2,0,0,66,37,18,11,70,22,32
191,Sully Scholle,Maine,F,35,3,13,16,1,1,0,0,63,4,0,-5,75,8,36
192,Anthony Calafiore,Maine,F,21,1,0,1,0,0,0,0,20,13,4,1,33,4,8
193,Bodie Nobes,Maine,D,18,0,4,4,0,0,0,0,29,0,0,9,45,4,11
194,Josh Nadeau,Maine,F,34,9,18,27,2,3,1,0,114,14,8,12,74,12,68
195,Albin Boija,Maine,G,34,0,0,0,0,0,0,0,1,0,0,0,73,0,0
196,Frank Djurasevic,Maine,D,35,7,20,27,2,1,1,1,77,0,0,18,75,14,49
197,Oskar Komarov,Maine,F,34,2,5,7,0,0,0,0,48,218,99,3,73,4,17
198,Liam Lesakowski,Maine,D,24,0,0,0,0,0,0,0,18,0,0,2,41,8,8
199,Jack Dalton,Maine,D,21,0,5,5,0,0,0,0,14,0,0,-3,37,21,15
200,Lynden Breen,Maine,F,19,6,5,11,1,0,0,0,52,270,141,5,45,18,16
201,Thomas Pichette,Maine,F,16,2,3,5,0,1,0,0,18,30,14,1,45,0,6
202,Aidan Carney,Maine,F,5,0,0,0,0,0,0,0,0,0,0,0,8,2,0
203,Patriks Berzins,Maine,G,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
204,Colby Enns,Merrimack,D,29,0,4,4,0,0,0,0,28,0,0,-7,98,10,19
205,Harrison Roy,Merrimack,F,35,2,7,9,0,0,0,0,80,381,193,-13,112,12,10
206,Josef Mysak,Merrimack,D,34,2,8,10,0,0,0,0,44,1,1,5,109,25,28
207,Antonio Venuto,Merrimack,F,35,8,6,14,4,1,0,1,68,47,17,-12,112,8,16
208,Michael Citara,Merrimack,F,7,1,0,1,0,0,0,0,10,0,0,-1,25,2,6
209,Ivan Zivlak,Merrimack,D,32,3,6,9,0,1,0,0,27,0,0,-1,96,6,27
210,Seamus Powell,Merrimack,D,35,5,16,21,2,0,0,1,68,0,0,-8,112,2,48
211,Zach Bookman,Merrimack,D,33,3,14,17,1,0,0,0,50,0,0,-5,106,22,43
212,Trevor Griebel,Merrimack,D,24,1,4,5,1,0,0,0,15,0,0,-9,86,19,9
213,Tyler Young,Merrimack,F,29,6,4,10,0,1,0,0,55,6,1,-4,89,40,14
214,Cam KungleÂ ,Merrimack,D,32,0,1,1,0,0,0,0,18,0,0,-4,100,12,14
215,Ethan Bono,Merrimack,F,33,5,4,9,0,1,0,1,41,354,153,0,103,6,2
216,David Sacco,Merrimack,F,26,9,0,9,1,3,0,0,33,130,66,-3,86,37,14
217,Luke Weilandt,Merrimack,F,35,1,5,6,0,0,1,0,45,378,181,-8,112,14,9
218,Ty Daneault,Merrimack,F,35,6,9,15,3,1,0,0,61,8,3,-7,112,40,24
219,Nils Wallstrom,Merrimack,G,11,0,0,0,0,0,0,0,1,0,0,0,43,2,0
220,Nick Pierre,Merrimack,F,34,5,11,16,3,0,0,0,94,17,8,-8,112,8,30
221,Caden Cranston,Merrimack,F,35,7,10,17,1,2,0,1,48,24,10,-13,112,2,11
222,Caelan Fitzpatrick,Merrimack,F,35,6,9,15,2,2,0,0,54,532,260,0,112,16,18
223,Max Lundgren,Merrimack,G,24,0,0,0,0,0,0,0,0,0,0,-1,79,0,0
224,Ryan O'Connell,Merrimack,F,27,1,7,8,0,0,0,0,35,3,0,-5,86,18,11
225,Max Wattvil,Merrimack,D,11,0,0,0,0,0,0,0,9,0,0,-3,34,4,10
226,Michael Emerson,Merrimack,F,32,6,6,12,0,0,0,0,31,177,62,1,96,0,20
227,Hunter Wallace,Merrimack,F,6,2,0,2,0,0,0,0,7,0,0,2,21,0,5
228,Vann Yuhas,Merrimack,F,16,2,0,2,0,1,0,0,8,1,0,-4,54,21,2
229,Ryan Keyes,Merrimack,G,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0
230,Nathan King,Merrimack,D,9,0,2,2,0,0,0,0,6,0,0,-2,27,2,6
231,Spencer Marquis,Merrimack,G,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
232,Conor Lovett,New Hampshire,F,35,5,1,6,1,0,0,0,27,245,142,-2,100,10,4
233,Nikolai Jenson,New Hampshire,D,28,2,4,6,0,2,0,0,34,1,1,0,77,33,35
234,Luke Reid,New Hampshire,D,35,1,11,12,0,0,0,0,63,0,0,-7,100,10,44
235,Luis Lindner,New Hampshire,D,28,0,6,6,0,0,0,0,27,0,0,3,75,4,21
236,Robert Cronin,New Hampshire,F,35,17,11,28,8,2,0,0,57,377,186,-5,100,20,11
237,Liam Devlin,New Hampshire,F,35,9,14,23,2,0,0,1,83,3,1,-6,100,40,35
238,Alex Gagne,New Hampshire,D,35,4,13,17,1,1,0,0,83,1,0,0,100,46,44
239,Connor Sweeney,New Hampshire,F,35,2,6,8,0,0,0,0,39,17,8,-7,100,8,6
240,Colton Huard,New Hampshire,D,35,0,10,10,0,0,0,0,64,0,0,-6,100,22,40
241,Jack Babbage,New Hampshire,D,19,1,0,1,0,0,0,0,18,0,0,-5,52,6,8
242,Jared Whale,New Hampshire,G,31,0,0,0,0,0,0,0,0,0,0,0,93,0,0
243,Kristaps Skrastins,New Hampshire,F,32,3,3,6,0,0,0,0,50,4,1,-5,93,4,16
244,Morgan Winters,New Hampshire,F,26,2,12,14,0,1,0,1,44,36,20,4,71,8,12
245,Cy LeClerc,New Hampshire,F,33,8,20,28,1,1,0,0,75,454,242,-10,99,12,20
246,Marty Lavins,New Hampshire,F,35,8,9,17,2,1,0,1,79,343,174,-2,100,34,29
247,Brendan Fitzgerald,New Hampshire,D,32,1,2,3,0,0,0,0,34,0,0,3,96,24,25
248,J.P. Turner,New Hampshire,F,34,5,8,13,0,2,1,0,59,9,7,0,97,22,16
249,Jason Siedem,New Hampshire,F,32,3,8,11,0,0,0,0,26,7,1,-3,91,4,10
250,Nick Ring,New Hampshire,F,35,9,11,20,7,1,0,0,52,437,198,-14,100,4,23
251,Ryan Conmy,New Hampshire,F,34,15,18,33,3,2,0,0,124,0,0,-1,100,6,75
252,Ryan MacPherson,New Hampshire,F,18,1,1,2,0,0,0,0,7,23,11,1,59,2,2
253,Ronan Walsh,New Hampshire,F,12,0,0,0,0,0,0,0,2,0,0,2,33,15,2
254,Rico DiMatteo,New Hampshire,G,8,0,0,0,0,0,0,0,0,0,0,0,32,0,0
255,Josh Player,New Hampshire,D,13,0,0,0,0,0,0,0,7,0,0,-6,39,2,7
256,Connor MacPherson,New Hampshire,F,5,0,0,0,0,0,0,0,2,0,0,-1,11,0,0
257,Raphael Gaughan,New Hampshire,G,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
258,Jake Higgins,Northeastern,D,35,2,1,3,0,0,0,0,17,0,0,-3,112,4,14
259,Jake Boltmann,Northeastern,D,34,2,10,12,0,0,0,0,24,0,0,-2,106,39,24
260,Ryan McGuire,Northeastern,F,36,4,3,7,1,0,1,1,58,663,381,-9,112,14,12
261,Cristophe Tellier,Northeastern,F,35,5,13,18,0,0,0,0,52,12,8,-12,107,34,19
262,Vinny Borgesi,Northeastern,D,31,5,16,21,0,2,0,0,71,17,13,1,92,14,44
263,Cam Lund,Northeastern,F,36,17,21,38,4,3,0,0,174,185,80,1,112,14,54
264,Jackson Dorrington,Northeastern,D,36,2,12,14,0,0,0,0,73,0,0,-2,112,18,33
265,Nick RhÃ©aume,Northeastern,F,36,2,1,3,1,0,0,0,49,17,8,-16,112,39,10
266,Joaquim Lemay,Northeastern,D,29,3,9,12,1,0,0,0,58,0,0,-11,88,29,40
267,Jack Williams,Northeastern,F,36,16,25,41,3,3,1,1,105,712,392,6,120,25,37
268,Jack Williams,Notre Dame,G,1,0,0,0,0,0,0,0,105,712,392,6,120,0,0
269,Dylan Hryckowian,Northeastern,F,35,16,19,35,2,4,1,2,102,13,5,4,108,24,25
270,Andy Moore,Northeastern,F,35,0,3,3,0,0,0,0,27,203,114,-1,107,10,3
271,Eli Sebastian,Northeastern,F,32,1,0,1,0,0,0,0,33,340,138,-15,105,0,12
272,Cameron Whitehead,Northeastern,G,34,0,1,1,0,0,0,0,0,0,0,0,109,0,0
273,Jack Henry,Northeastern,D,29,0,1,1,0,0,0,0,13,0,0,-9,92,6,8
274,Joe Connor,Northeastern,F,36,7,9,16,1,2,0,0,103,10,3,-10,112,47,38
275,Griffin Erdman,Northeastern,F,35,1,2,3,0,0,0,0,35,13,6,1,112,2,8
276,James Fisher,Northeastern,F,23,1,1,2,0,0,0,0,21,0,0,-3,76,6,4
277,Ben Poitras,Northeastern,F,28,1,2,3,0,0,0,0,25,3,2,-3,85,26,9
278,Seth Constance,Northeastern,D,34,0,1,1,0,0,0,0,7,0,0,-4,108,4,4
279,Anthony Messuri,Northeastern,F,15,0,1,1,0,0,0,0,1,34,14,4,46,0,0
