,PLAYER,Team,Pos,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ON NET,TOTAL FACEOFF,FACEOFF WINS,PLSMNS,Opponent Score,PEN MIN,BLOCKS
846,Patrick Geary,Michigan State,D,35,1,6,7,0,0,0,0,52,0,0,4,77,43,45
847,Austin Oravetz,Michigan State,D,11,0,3,3,0,0,0,0,5,0,0,4,24,15,2
848,Tommi MÃ¤nnistÃ¶,Michigan State,F,35,3,8,11,0,0,1,0,67,1,0,13,77,6,25
849,Griffin Jurecki,Michigan State,F,22,0,2,2,0,0,0,0,50,0,0,-2,52,0,6
850,Luca Di Pasquo,Michigan State,G,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0
851,Owen West,Michigan State,D,32,0,3,3,0,0,0,0,33,0,0,9,67,20,21
852,Vladislav Lukashevich,Michigan State,D,27,1,6,7,0,0,0,0,26,0,0,11,61,4,17
853,Mikey DeAngelo,Michigan State,F,31,3,6,9,0,0,0,0,33,250,116,3,69,19,11
854,Shane Vansaghi,Michigan State,F,35,6,10,16,2,2,0,0,55,33,16,10,77,28,15
855,Trey Augustine,Michigan State,G,28,0,3,3,0,0,0,0,0,0,0,0,65,0,0
856,Maxim Å trbÃ¡k,Michigan State,D,31,3,15,18,0,0,0,0,56,0,0,6,70,16,37
857,Gavin O'Connell,Michigan State,F,26,5,6,11,0,2,0,0,57,7,4,5,56,10,9
858,Nathan Mackie,Michigan State,F,9,0,1,1,0,0,0,0,7,32,19,-1,21,6,2
859,Tim Lovell,Michigan,D,10,0,2,2,0,0,0,0,10,0,0,0,22,8,9
860,Jacob Truscott,Michigan,D,36,3,13,16,3,0,0,0,59,0,0,-2,118,27,49
861,Philippe Lapointe,Michigan,F,34,6,6,12,0,0,0,1,30,7,2,3,112,10,9
862,Thomas Daskas,Michigan,F,14,1,0,1,0,1,0,0,4,0,0,-4,53,6,5
863,Ethan Edwards,Michigan,D,36,5,16,21,4,1,0,0,91,0,0,-2,118,40,48
864,Mark Estapa,Michigan,F,35,2,10,12,1,0,0,0,49,542,304,-4,116,32,13
865,Tyler Duke,Michigan,D,29,5,8,13,0,0,0,1,37,0,0,0,95,33,32
866,Josh Eernisse,Michigan,F,36,1,10,11,0,0,0,1,56,8,1,0,118,34,18
867,T.J. Hughes,Michigan,F,36,15,23,38,9,1,0,0,116,723,380,4,118,12,43
868,Jackson Hallum,Michigan,F,36,8,10,18,1,2,0,1,71,16,6,-1,118,18,31
869,Kienan Draper,Michigan,F,33,7,2,9,0,1,0,0,46,393,183,-4,105,37,13
870,Luca Fantilli,Michigan,D,34,1,5,6,0,0,0,0,30,0,0,-4,111,8,26
871,Evan Werner,Michigan,F,33,11,10,21,2,2,0,0,90,2,0,-12,103,21,30
872,Nick Moldenhauer,Michigan,F,29,3,7,10,0,0,0,1,34,26,16,2,89,4,15
873,Garrett Schifsky,Michigan,F,36,11,9,20,1,4,3,1,87,104,49,0,118,14,43
874,William Whitelaw,Michigan,F,35,11,7,18,4,2,0,0,97,12,5,6,114,30,36
875,Hunter Hady,Michigan,D,30,0,1,1,0,0,0,0,10,0,0,-2,102,35,9
876,Dakoda RhÃ©aume-Mullen,Michigan,D,34,3,6,9,0,0,0,0,28,0,0,-5,111,8,16
877,Michael Hage,Michigan,F,33,13,21,34,2,4,0,0,74,372,169,-10,106,23,40
878,Cameron Korpi,Michigan,G,19,0,0,0,0,0,0,0,0,0,0,0,69,2,0
879,Andrew Albano,Michigan,G,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
880,Logan Stein,Michigan,G,23,0,1,1,0,0,0,0,0,0,0,0,80,0,0
881,Christian Humphreys,Michigan,F,10,0,1,1,0,0,0,0,8,29,14,-2,34,0,10
882,Tanner Rowe,Michigan,F,19,0,0,0,0,0,0,0,13,20,5,-5,65,4,15
883,Will Felicio,Michigan,D,24,2,9,11,0,0,0,0,15,0,0,12,85,2,14
884,Josh Orrico,Michigan,D,7,0,0,0,0,0,0,0,3,0,0,-3,25,0,2
885,Will Horcoff,Michigan,F,18,4,6,10,3,0,0,1,44,8,3,-4,66,6,12
886,Jimmy Dowd Jr.,Penn State,D,24,1,9,10,0,0,0,0,41,0,0,-5,84,17,27
887,Tyler Paquette,Penn State,F,35,3,3,6,0,0,1,0,35,7,2,-11,112,12,8
888,Simon Mack,Penn State,D,37,3,24,27,0,2,0,0,82,0,0,23,120,6,52
889,Carson Dyck,Penn State,F,24,1,2,3,0,1,0,0,13,55,29,-1,89,0,1
890,Ben Schoen,Penn State,F,34,7,12,19,4,0,0,0,48,217,108,-9,111,27,14
891,Danny Dzhaniyev,Penn State,F,37,12,18,30,4,0,0,0,119,142,83,-3,120,4,30
892,Arsenii Sergeev,Penn State,G,30,0,2,2,0,0,0,0,0,0,0,0,92,0,0
893,Carter Schade,Penn State,D,35,0,9,9,0,0,0,0,55,0,0,-1,112,26,35
894,Alex Servagno,Penn State,F,17,0,1,1,0,0,0,0,14,1,1,0,51,4,5
895,Jarod Crespo,Penn State,D,33,2,5,7,0,0,1,0,37,1,1,-10,107,10,20
896,Matt DiMarsico,Penn State,F,36,14,15,29,4,2,0,0,153,9,6,12,119,28,51
897,Aiden Fink,Penn State,F,37,23,29,52,8,4,2,3,144,3,1,15,120,12,45
898,Dane Dowiak,Penn State,F,37,9,8,17,2,1,2,0,64,490,288,4,120,18,20
899,Reese Laubach,Penn State,F,32,15,15,30,2,3,1,1,95,310,143,9,105,57,24
900,Keaton Peters,Penn State,F,32,2,3,5,0,1,0,0,38,448,246,-13,109,6,9
901,Nick Fascia,Penn State,D,24,0,3,3,0,0,0,0,16,0,0,-6,83,13,22
902,Charlie Cerrato,Penn State,F,35,15,22,37,2,2,0,0,94,678,388,16,112,58,29
903,Nicholas DeGraves,Penn State,F,30,3,5,8,0,0,0,0,28,152,77,3,97,8,8
904,JJ Wiebusch,Penn State,F,37,12,18,30,4,2,0,0,83,5,1,13,120,14,16
905,Cade Christenson,Penn State,D,36,2,7,9,0,0,0,1,45,1,0,23,119,10,30
906,Dylan Lugris,Penn State,F,31,4,8,12,1,1,0,0,48,3,0,-8,95,4,13
907,Casey Aman,Penn State,D,33,1,6,7,0,1,0,0,45,0,0,-1,110,10,21
908,Braedon Ford,Penn State,F,14,1,0,1,0,0,1,0,6,33,14,-2,44,15,2
909,Jason Gallucci,Penn State,D,12,0,0,0,0,0,0,0,12,0,0,1,21,8,7
910,John Seifarth,Penn State,G,6,0,0,0,0,0,0,0,0,0,0,0,22,0,0
911,Noah Grannan,Penn State,G,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0
912,Owen Lindmark,Wisconsin,F,37,5,4,9,2,0,1,0,54,601,363,-13,110,12,17
913,Anthony Kehrer,Wisconsin,D,35,1,11,12,0,0,0,0,45,0,0,13,106,14,26
914,Cody Laskosky,Wisconsin,F,27,7,4,11,1,1,1,1,42,4,1,6,68,4,18
915,Ryland Mosley,Wisconsin,F,37,18,19,37,4,0,0,0,117,23,12,-2,110,21,26
916,Daniel Laatsch,Wisconsin,D,22,2,3,5,0,2,0,0,28,1,0,1,56,2,15
917,Tommy Scarfone,Wisconsin,G,32,0,1,1,0,0,0,0,0,0,0,0,94,0,0
918,Tyson Dyck,Wisconsin,F,37,3,10,13,0,2,0,0,77,82,37,3,110,10,25
919,Kyle Kukkonen,Wisconsin,F,37,10,9,19,3,2,0,1,101,2,1,-1,110,22,27
920,Christian Fitzgerald,Wisconsin,F,37,6,11,17,1,1,0,0,79,409,191,-11,110,24,32
921,Jack Horbach,Wisconsin,F,34,3,6,9,0,0,1,0,42,18,10,8,98,21,15
922,Simon Tassy,Wisconsin,F,31,6,5,11,1,2,0,0,60,9,4,-11,102,10,14
923,Zach Schulz,Wisconsin,D,28,2,9,11,0,1,0,0,30,0,0,0,80,10,24
924,Joe Palodichuk,Wisconsin,D,25,1,3,4,1,0,0,0,19,0,0,-7,81,8,19
925,Owen Mehlenbacher,Wisconsin,F,25,4,2,6,1,1,0,0,33,100,54,-2,72,2,10
926,Quinn Finley,Wisconsin,F,37,20,20,40,8,1,0,1,139,13,2,-2,110,31,75
927,Sawyer Scholl,Wisconsin,F,34,3,6,9,0,0,0,0,50,202,100,3,102,26,12
928,Gavin Morrissey,Wisconsin,F,37,9,23,32,3,0,0,0,72,759,437,4,110,14,26
929,Jack Phelan,Wisconsin,D,36,0,4,4,0,0,0,0,31,0,0,0,108,14,15
930,Ryan Botterill,Wisconsin,F,31,4,3,7,1,0,0,0,56,0,0,-12,103,2,23
931,Adam Pietila,Wisconsin,F,31,1,2,3,0,0,0,0,28,3,2,0,90,57,12
932,Ben Dexheimer,Wisconsin,D,35,1,16,17,0,0,0,0,80,0,0,-16,107,2,46
933,Logan Hensler,Wisconsin,D,32,2,10,12,1,0,0,0,50,0,0,-13,96,27,37
934,Weston Knox,Wisconsin,D,10,0,3,3,0,0,0,0,7,0,0,1,32,4,2
935,William Gramme,Wisconsin,G,8,0,0,0,0,0,0,0,0,0,0,0,30,0,0
936,Luke Buss,Wisconsin,F,5,0,0,0,0,0,0,0,2,0,0,-2,12,0,1
937,Mike Koster,Minnesota,D,39,4,15,19,3,1,0,1,44,0,0,9,101,14,30
938,Mason Nevers,Minnesota,F,32,6,3,9,0,1,0,0,30,9,4,2,87,4,12
939,Aaron Huglen,Minnesota,F,38,5,14,19,1,0,0,0,48,518,274,4,96,10,22
940,Matthew Wood,Minnesota,F,38,17,21,38,3,2,0,1,123,61,35,19,98,14,38
941,Ryan Chesley,Minnesota,D,39,8,12,20,0,2,1,0,97,0,0,17,101,48,54
942,Connor Kurth,Minnesota,F,39,17,21,38,2,4,0,2,103,1,0,31,101,10,31
943,Brody Lamb,Minnesota,F,38,16,9,25,8,2,1,2,83,38,16,1,98,12,21
944,Luke Mittelstadt,Minnesota,D,39,2,16,18,1,0,0,0,65,0,0,23,101,8,33
945,Jimmy Snuggerud,Minnesota,F,39,22,27,49,4,2,0,2,161,27,8,13,101,29,77
946,Cal Thomas,Minnesota,D,26,1,8,9,0,0,0,0,27,0,0,11,67,6,16
947,Sam Rinzel,Minnesota,D,39,10,21,31,3,2,0,1,95,0,0,20,101,12,58
948,Oliver Moore,Minnesota,F,37,12,20,32,2,1,0,2,108,674,355,13,97,6,16
949,Jimmy Clark,Minnesota,F,38,5,16,21,1,1,0,1,79,516,239,15,97,0,31
950,Nathan Airey,Minnesota,G,18,0,1,1,0,0,0,0,0,0,0,0,55,0,0
951,John Whipple,Minnesota,D,29,0,3,3,0,0,0,0,14,0,0,4,64,6,6
952,August Falloon,Minnesota,F,22,2,3,5,0,1,0,0,20,2,0,0,57,0,12
953,Beckett Hendrickson,Minnesota,F,38,3,9,12,0,0,0,0,61,3,0,-1,98,18,17
954,Leo Gruba,Minnesota,D,39,1,2,3,0,1,0,0,45,0,0,7,101,10,29
955,Erik PÃ¥hlsson,Minnesota,F,29,3,15,18,0,1,1,1,64,311,105,7,78,6,13
956,Brodie Ziemer,Minnesota,F,37,12,11,23,1,2,0,2,89,10,3,6,97,21,37
957,Nick Michel,Minnesota,F,10,1,3,4,0,0,0,0,10,0,0,5,23,17,3
958,John Mittelstadt,Minnesota,F,34,3,5,8,0,2,0,0,33,205,105,5,89,0,7
959,Axel Begley,Minnesota,D,15,0,0,0,0,0,0,0,4,0,0,1,37,0,4
960,Liam Souliere,Minnesota,G,24,0,1,1,0,0,0,0,0,0,0,0,68,0,0
961,Joe Dunlap,Ohio State,F,37,5,13,18,1,1,0,0,107,1,1,3,104,22,38
962,Gunnarwolfe Fontaine,Ohio State,F,38,16,23,39,6,2,0,1,107,5,4,6,106,6,34
963,Aiden Hansen-Bukata,Ohio State,D,36,2,24,26,1,1,0,0,55,0,0,11,99,20,18
964,Brent Johnson,Ohio State,D,36,5,8,13,0,1,0,0,51,2,0,-6,101,4,32
965,Caden Brown,Ohio State,F,2,1,1,2,0,1,0,0,2,19,9,2,5,0,0
966,Logan Terness,Ohio State,G,23,0,1,1,0,0,0,0,0,0,0,0,74,0,0
967,Davis Burnside,Ohio State,F,38,14,19,33,4,2,0,2,100,5,1,8,106,16,36
968,Jake Dunlap,Ohio State,F,18,0,3,3,0,0,0,0,37,2,1,1,57,0,12
969,Damien Carfagna,Ohio State,D,36,6,20,26,2,1,1,1,86,0,0,16,100,6,40
970,Riley Thompson,Ohio State,F,38,17,15,32,6,3,1,2,123,735,327,12,106,30,16
971,Nathan McBrayer,Ohio State,D,38,4,6,10,1,0,0,0,47,0,0,9,106,20,36
972,Max Montes,Ohio State,F,38,13,12,25,0,4,0,1,93,472,239,3,106,16,34
973,Sam Deckhut,Ohio State,F,35,6,8,14,0,1,0,0,40,192,80,7,99,10,14
974,Ryan Gordon,Ohio State,F,37,5,8,13,0,1,0,0,47,390,203,-1,105,27,10
975,Theo Wallberg,Ohio State,D,27,0,8,8,0,0,0,0,22,0,0,13,72,10,15
976,Chris Able,Ohio State,D,30,0,8,8,0,0,0,0,14,0,0,10,87,6,10
977,Jake Rozzi,Ohio State,F,31,5,6,11,0,3,0,0,40,1,0,-2,91,2,12
978,Noah Powell,Ohio State,F,17,2,3,5,0,0,0,0,21,4,4,0,36,4,15
979,James Hong,Ohio State,F,32,4,9,13,0,0,0,0,54,23,10,2,90,17,8
980,Nathan Lewis,Ohio State,F,25,2,4,6,0,0,0,0,26,4,2,2,66,2,9
981,Thomas Weis,Ohio State,F,33,2,4,6,0,0,0,0,31,5,1,8,93,17,17
982,Kristoffer Eberly,Ohio State,G,17,0,0,0,0,0,0,0,0,0,0,0,40,0,0
983,William Smith,Ohio State,D,34,3,3,6,0,1,0,0,52,1,0,-2,99,29,31
984,Dylan Godbout,Ohio State,F,14,0,1,1,0,0,0,0,7,2,0,-2,39,2,2
985,Patrick Guzzo,Ohio State,F,34,9,7,16,0,2,0,1,60,622,308,8,100,8,12
986,Chris Romaine,Ohio State,D,9,0,0,0,0,0,0,0,8,0,0,2,17,4,3
987,John Larkin,Ohio State,D,6,0,0,0,0,0,0,0,5,0,0,0,15,0,3
988,Tyler Coffey,Colorado College,F,23,4,2,6,0,1,0,0,35,5,2,-3,70,0,24
989,Ty Gallagher,Colorado College,D,37,9,17,26,2,0,1,1,110,0,0,7,113,12,74
990,Stanley Cooley,Colorado College,F,37,6,6,12,1,2,0,0,72,523,280,-17,113,28,14
991,Ryan Beck,Colorado College,F,26,0,7,7,0,0,0,0,28,28,18,-13,80,8,11
992,Ethan Straky,Colorado College,D,32,0,6,6,0,0,0,0,34,1,0,-6,97,24,31
993,Noah Laba,Colorado College,F,29,10,16,26,0,2,0,1,61,487,279,10,96,25,23
994,Gleb Veremyev,Colorado College,F,37,9,8,17,2,0,0,0,65,8,2,5,113,50,26
995,Kaidan Mbereko,Colorado College,G,31,0,0,0,0,0,0,0,0,0,0,0,88,0,0
996,Charlie Strobel,Colorado College,F,6,0,1,1,0,0,0,0,9,0,0,3,9,6,4
997,Zaccharya Wisdom,Colorado College,F,36,8,13,21,0,2,0,0,81,9,2,3,104,12,29
998,Max Burkholder,Colorado College,D,37,6,20,26,3,1,0,0,59,0,0,-2,113,12,59
999,Bret Link,Colorado College,F,37,7,14,21,2,2,0,0,88,42,15,5,113,24,25
1000,Tyler Dunbar,Colorado College,D,14,0,1,1,0,0,0,0,16,0,0,1,30,21,10
1001,Klavs Veinbergs,Colorado College,F,36,9,10,19,4,0,0,1,60,522,308,-8,113,32,23
1002,Drew Montgomery,Colorado College,F,34,10,8,18,1,4,0,0,50,82,33,9,97,18,19
1003,Brady Cleveland,Colorado College,D,37,1,2,3,0,1,0,0,31,0,0,-3,113,39,25
1004,Philippe Blais-Savoie,Colorado College,D,30,4,11,15,1,2,0,0,61,0,0,4,102,10,26
1005,Owen Beckner,Colorado College,F,37,7,20,27,2,0,0,0,48,225,117,8,113,4,17
1006,Fisher Scott,Colorado College,D,34,3,7,10,0,1,0,0,30,2,1,0,107,12,25
1007,Gavin Lindberg,Colorado College,F,37,5,5,10,1,0,0,0,52,214,119,-11,113,8,6
1008,Riley Stuart,Colorado College,F,21,1,0,1,0,0,0,0,20,50,21,-7,64,36,6
1009,Ryan Koering,Colorado College,D,30,1,2,3,0,0,0,0,34,0,0,-7,93,2,19
1010,Chase McLane,Colorado College,F,33,5,5,10,0,0,0,0,35,56,32,1,108,26,14
1011,Carsen Musser,Colorado College,G,9,0,0,0,0,0,0,0,0,0,0,0,37,0,0
1012,Tommy Middleton,Colorado College,F,21,1,4,5,0,0,0,0,19,6,2,-7,71,8,9
1013,Jordan Brisson,Colorado College,F,1,0,0,0,0,0,0,0,0,0,0,-1,2,0,1
1014,Henry Wilder,Colorado College,G,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1015,Connor Caponi,Denver,F,37,3,4,7,0,1,0,0,39,236,133,8,89,51,12
1016,Carter King,Denver,F,39,20,18,38,8,4,1,1,116,979,539,17,94,16,32
1017,Jack Devine,Denver,F,39,13,41,54,5,0,0,1,148,3,1,16,94,32,38
1018,Matt Davis,Denver,G,35,0,1,1,0,0,0,0,0,0,0,0,84,0,0
1019,Samu Salminen,Denver,F,39,10,15,25,1,0,2,0,59,586,325,21,94,22,17
1020,Aidan Thompson,Denver,F,39,18,31,49,7,2,0,1,164,54,37,16,94,26,44
1021,Rieger Lorenz,Denver,F,39,6,13,19,2,1,0,0,86,22,11,14,94,16,25
1022,Jared Wright,Denver,F,39,8,6,14,0,1,0,0,75,4,2,17,94,6,14
1023,Kent Anderson,Denver,D,39,1,7,8,0,1,0,0,32,0,0,13,94,12,32
1024,Eric Pohlkamp,Denver,D,39,9,22,31,3,1,0,1,151,0,0,31,94,22,70
1025,Cale Ashcroft,Denver,D,39,4,7,11,0,3,0,0,45,0,0,8,94,8,22
1026,Garrett Brown,Denver,D,37,2,4,6,0,0,0,0,29,0,0,9,91,16,11
1027,Boston Buckberger,Denver,D,39,8,21,29,0,1,0,1,71,1,1,30,89,20,49
1028,Kieran Cebrian,Denver,F,39,6,8,14,0,1,0,0,48,725,386,12,94,14,17
1029,Zeev Buium,Denver,D,36,10,32,42,3,3,0,2,88,0,0,17,90,40,48
1030,Sam Harris,Denver,F,38,21,12,33,9,7,0,0,126,17,3,14,93,42,25
1031,Tory Pitner,Denver,D,35,0,1,1,0,0,0,0,4,1,0,3,87,21,4
1032,Hagen Burrows,Denver,F,34,1,8,9,0,0,0,0,33,0,0,5,88,12,6
1033,Jake Fisher,Denver,F,37,7,7,14,1,0,0,0,56,183,77,8,88,12,21
1034,James Reeder,Denver,F,39,10,11,21,5,2,0,0,59,5,2,17,94,0,22
1035,Alex Weiermair,Denver,F,9,0,2,2,0,0,0,0,5,4,2,3,16,0,1
1036,Peter LaJoy,Denver,F,5,0,0,0,0,0,0,0,1,0,0,0,9,2,0
1037,Freddie Halyk,Denver,G,9,0,0,0,0,0,0,0,0,0,0,0,20,2,0
1038,Colby Ambrosio,Miami,F,34,7,13,20,2,0,0,0,65,98,46,-32,143,45,33
1039,Hampus Rydqvist,Miami,D,27,2,3,5,0,0,0,0,42,3,3,-12,117,10,18
1040,Dylan Moulton,Miami,D,33,3,4,7,0,0,0,0,54,7,2,-28,139,16,10
1041,Brett Miller,Miami,G,7,0,0,0,0,0,0,0,0,0,0,0,36,0,0
1042,Christophe Fillion,Miami,F,34,4,6,10,1,0,0,1,52,83,38,-25,143,16,17
1043,Conner Hutchison,Miami,D,33,2,7,9,0,0,0,0,47,1,1,-10,138,22,36
1044,Matt Choupani,Miami,F,34,6,10,16,2,1,0,0,49,37,8,-18,143,28,17
1045,Spencer Cox,Miami,D,20,1,3,4,0,0,0,0,21,2,1,-16,91,19,14
1046,Brayden Morrison,Miami,F,23,0,2,2,0,0,0,0,11,146,67,-9,104,20,3
1047,Blake Mesenburg,Miami,F,34,4,3,7,0,0,1,0,40,295,128,-16,143,12,7
1048,Max Dukovac,Miami,F,25,5,5,10,2,0,0,0,33,6,1,-14,96,14,11
1049,Zane Demsey,Miami,D,28,1,2,3,0,0,0,0,11,0,0,-11,107,40,16
1050,Frankie Carogioiello,Miami,F,31,1,1,2,0,0,0,0,13,11,4,-12,136,24,10
1051,Johnny Waldron,Miami,F,28,4,16,20,3,0,0,0,46,354,156,-19,111,8,18
1052,Raimonds Vitolins,Miami,F,31,4,10,14,1,0,1,0,47,242,126,-13,130,12,14
1053,Rihards SimanoviÄs,Miami,D,34,1,3,4,0,0,0,0,26,1,1,-15,143,10,20
1054,Bruno Bruveris,Miami,G,19,0,1,1,0,0,0,0,0,0,0,0,84,0,0
1055,Michael Quinn,Miami,D,34,2,10,12,1,0,0,0,50,0,0,-26,143,4,32
1056,John Emmons,Miami,F,21,1,0,1,0,0,0,0,14,190,85,-14,103,29,11
1057,Casper Nassen,Miami,F,34,6,4,10,4,1,0,0,52,3,1,-22,143,10,19
1058,Michael Feenstra,Miami,D,12,1,2,3,0,0,0,0,6,0,0,-7,56,16,2
1059,Teodor Forssander,Miami,F,11,0,0,0,0,0,0,0,3,4,2,-5,51,0,2
1060,Ethan Dahlmeir,Miami,G,14,0,1,1,0,0,0,0,0,0,0,0,64,0,0
1061,William HallÃ©n,Miami,F,9,2,0,2,0,1,0,0,9,37,19,-4,34,4,2
1062,Tanyon Bajzer,Miami,F,13,0,0,0,0,0,0,0,5,2,1,-5,48,0,4
1063,Nick Donato,Miami,D,13,0,0,0,0,0,0,0,6,2,0,-8,59,21,8
1064,Artur Turansky,Miami,F,11,0,1,1,0,0,0,0,8,1,0,-6,46,0,5
1065,Joe Molenaar,Minnesota Duluth,F,31,3,3,6,0,0,1,0,45,8,2,-8,103,6,14
1066,Luke Bast,Minnesota Duluth,D,12,0,1,1,0,0,0,0,2,0,0,-5,41,2,3
1067,Dominic  James,Minnesota Duluth,F,35,14,16,30,5,3,0,0,108,723,377,5,113,20,35
1068,Owen Gallatin,Minnesota Duluth,D,36,4,11,15,0,1,0,1,78,0,0,-8,117,15,46
1069,Carter Loney,Minnesota Duluth,F,33,3,5,8,0,1,0,0,42,115,45,-10,109,40,14
1070,Kyle Bettens,Minnesota Duluth,F,32,1,5,6,0,0,0,0,25,12,6,-9,105,12,9
1071,Aiden Dubinsky,Minnesota Duluth,D,36,4,10,14,0,0,0,0,46,0,0,-2,117,20,31
1072,Joey Pierce,Minnesota Duluth,D,36,1,4,5,0,0,0,0,67,0,0,5,117,50,27
1073,Jack Smith,Minnesota Duluth,F,33,4,5,9,0,2,0,0,48,429,204,-10,105,23,14
1074,Zach Sandy,Minnesota Duluth,G,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1075,Aaron Pionk,Minnesota Duluth,D,36,3,23,26,1,1,0,0,75,0,0,1,117,12,42
1076,Anthony Menghini,Minnesota Duluth,F,34,12,7,19,3,2,0,1,107,3,1,6,111,15,32
1077,Matthew Perkins,Minnesota Duluth,F,29,1,4,5,0,0,0,0,38,29,14,-7,98,14,13
1078,Ty Hanson,Minnesota Duluth,D,36,4,10,14,1,0,1,0,53,0,0,-8,117,14,36
1079,Adam Kleber,Minnesota Duluth,D,33,2,3,5,0,0,0,0,60,0,0,-9,111,13,13
1080,Max Plante,Minnesota Duluth,F,23,9,19,28,3,1,0,0,73,15,5,5,78,16,32
1081,Jayson Shaugabay,Minnesota Duluth,F,36,12,14,26,5,0,0,0,60,29,14,-3,117,4,14
1082,Blake Bechen,Minnesota Duluth,F,34,5,4,9,0,1,0,0,39,7,2,-3,107,12,8
1083,Callum Arnott,Minnesota Duluth,F,36,6,4,10,4,0,0,0,60,285,119,-16,117,2,11
1084,Zam Plante,Minnesota Duluth,F,33,7,13,20,2,0,0,0,97,390,213,1,108,0,23
1085,Riley Bodnarchuk,Minnesota Duluth,D,12,0,0,0,0,0,0,0,2,0,0,1,36,6,1
1086,Harper Bentz,Minnesota Duluth,F,27,2,7,9,1,0,0,0,38,6,3,3,82,4,12
1087,Adam Gajan,Minnesota Duluth,G,21,0,0,0,0,0,0,0,0,0,0,0,75,0,0
1088,Trevor Stachowiak,Minnesota Duluth,F,2,0,0,0,0,0,0,0,1,0,0,-2,8,0,0
1089,Braden  Fischer,Minnesota Duluth,F,19,2,3,5,0,1,0,0,14,63,26,0,56,8,4
1090,Klayton Knapp,Minnesota Duluth,G,16,0,0,0,0,0,0,0,0,0,0,0,52,0,0
1091,Will Francis,Minnesota Duluth,D,4,0,0,0,0,0,0,0,4,0,0,-3,15,5,0
1092,Nolan Krenzen,Omaha,D,36,0,11,11,0,0,0,0,38,0,0,5,99,18,19
1093,Jimmy Glynn,Omaha,F,35,8,7,15,4,1,0,0,59,506,246,-2,98,14,18
1094,Brock Bremer,Omaha,F,36,4,8,12,2,0,0,0,72,9,2,-3,99,20,21
1095,Brady Risk,Omaha,F,35,13,12,25,7,3,0,1,60,18,9,6,99,30,19
1096,Harrison Israels,Omaha,F,34,10,15,25,3,1,1,0,65,497,272,12,93,14,8
1097,Aiden Gallacher,Omaha,D,6,0,1,1,0,0,0,0,4,0,0,0,11,2,4
1098,Sam Stange,Omaha,F,36,16,18,34,1,3,1,2,82,13,4,14,99,20,27
1099,Zach Urdahl,Omaha,F,33,12,10,22,1,2,0,3,94,5,3,4,95,6,34
1100,Garrett Pinoniemi,Omaha,F,29,1,2,3,0,0,0,0,30,122,57,-5,74,8,10
1101,Jacob Slipec,Omaha,F,33,1,3,4,0,0,0,0,29,37,11,-10,92,24,5
1102,Jacob Guevin,Omaha,D,36,7,13,20,2,1,0,0,86,1,1,4,99,10,41
1103,Noah Ellis,Omaha,D,26,1,3,4,0,0,0,0,21,1,0,-10,78,8,13
1104,Griffin Ludtke,Omaha,D,36,2,11,13,0,1,0,0,48,0,0,0,99,21,26
1105,Tyler Rollwagen,Omaha,F,36,3,12,15,3,0,0,0,52,246,115,-15,99,26,10
1106,Dylan Gratton,Omaha,D,35,2,12,14,0,1,0,0,38,0,0,-2,99,6,30
1107,Charlie Lurie,Omaha,F,20,4,6,10,3,0,0,0,45,3,1,-7,51,28,13
1108,Marcus Broberg,Omaha,D,27,1,8,9,0,0,0,0,28,0,0,6,78,22,14
1109,Myles Hilman,Omaha,F,25,6,6,12,0,1,0,1,51,4,2,14,63,4,11
1110,Kevin Reidler,Omaha,G,8,0,0,0,0,0,0,0,0,0,0,3,32,0,0
1111,Simon Latkoczy,Omaha,G,31,0,0,0,0,0,0,0,0,0,0,0,89,0,0
1112,Tanner Ludtke,Omaha,F,8,1,1,2,0,1,0,0,21,8,6,-1,22,2,11
1113,Joe Gramer,Omaha,D,32,0,4,4,0,0,0,0,14,1,0,1,87,4,7
1114,Isaiah Norlin,Omaha,D,16,0,1,1,0,0,0,0,14,0,0,-2,39,2,7
1115,Chase LaPinta,Omaha,F,19,3,1,4,0,1,0,0,29,5,2,-4,53,4,8
1116,Alexi Van Houtte-Cachero,Omaha,F,4,0,0,0,0,0,0,0,3,4,2,-2,8,4,0
1117,Liam Watkins,Omaha,F,15,2,2,4,0,1,0,0,15,123,67,-7,47,0,2
1118,Will Craig,Omaha,G,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1119,Gavin Enright,St. Cloud State,G,10,0,0,0,0,0,0,0,0,0,0,0,37,0,0
1120,Mason Salquist,St. Cloud State,F,36,3,4,7,0,2,0,0,47,643,368,-7,110,16,17
1121,Josh Luedtke,St. Cloud State,D,36,3,5,8,1,0,0,0,71,0,0,-14,110,10,31
1122,Nick Portz,St. Cloud State,F,33,4,1,5,0,0,0,0,31,6,1,-11,102,12,10
1123,Karl Falk,St. Cloud State,D,28,0,4,4,0,0,0,0,21,0,0,-3,78,6,8
1124,Ryan Rosborough,St. Cloud State,F,28,1,0,1,0,1,0,0,36,227,90,-7,71,4,7
1125,Josh Zinger,St. Cloud State,D,33,4,4,8,0,1,0,0,58,0,0,-13,99,16,28
