PLAYER,Team,Pos,GP,SHOT ATTEMPTS,G,A,PTS,PPG,GWG,SHG,ENG,PEN MIN,BLOCKS
Frank Djurasevic,Maine,D,35,151,7,20,27,2,1,1,1,14,49
Oskar Komarov,Maine,F,34,83,2,5,7,0,0,0,0,4,17
Liam Lesakowski,Maine,D,24,36,0,0,0,0,0,0,0,8,8
Jack Dalton,Maine,D,21,43,0,5,5,0,0,0,0,21,15
Lynden Breen,Maine,F,19,77,6,5,11,1,0,0,0,18,16
Thomas Pichette,Maine,F,16,27,2,3,5,0,1,0,0,0,6
Aidan Carney,Maine,F,5,1,0,0,0,0,0,0,0,2,0
Patriks Berzins,Maine,G,2,0,0,0,0,0,0,0,0,0,0
Colby Enns,Merrimack,D,29,53,0,4,4,0,0,0,0,10,19
Harrison Roy,Merrimack,F,35,108,2,7,9,0,0,0,0,12,10
Josef Mysak,Merrimack,D,34,87,2,8,10,0,0,0,0,25,28
Antonio Venuto,Merrimack,F,35,98,8,6,14,4,1,0,1,8,16
Michael Citara,Merrimack,F,7,22,1,0,1,0,0,0,0,2,6
Ivan Zivlak,Merrimack,D,32,71,3,6,9,0,1,0,0,6,27
Seamus Powell,Merrimack,D,35,144,5,16,21,2,0,0,1,2,48
Zach Bookman,Merrimack,D,33,121,3,14,17,1,0,0,0,22,43
Trevor Griebel,Merrimack,D,24,34,1,4,5,1,0,0,0,19,9
Tyler Young,Merrimack,F,29,94,6,4,10,0,1,0,0,40,14
Cam KungleÂ ,Merrimack,D,32,50,0,1,1,0,0,0,0,12,14
Ethan Bono,Merrimack,F,33,51,5,4,9,0,1,0,1,6,2
David Sacco,Merrimack,F,26,64,9,0,9,1,3,0,0,37,14
Luke Weilandt,Merrimack,F,35,71,1,5,6,0,0,1,0,14,9
Ty Daneault,Merrimack,F,35,116,6,9,15,3,1,0,0,40,24
Nils Wallstrom,Merrimack,G,11,1,0,0,0,0,0,0,0,2,0
Nick Pierre,Merrimack,F,34,168,5,11,16,3,0,0,0,8,30
Caden Cranston,Merrimack,F,35,84,7,10,17,1,2,0,1,2,11
Caelan Fitzpatrick,Merrimack,F,35,105,6,9,15,2,2,0,0,16,18
Max Lundgren,Merrimack,G,24,0,0,0,0,0,0,0,0,0,0
Ryan O'Connell,Merrimack,F,27,55,1,7,8,0,0,0,0,18,11
Max Wattvil,Merrimack,D,11,27,0,0,0,0,0,0,0,4,10
Michael Emerson,Merrimack,F,32,75,6,6,12,0,0,0,0,0,20
Hunter Wallace,Merrimack,F,6,15,2,0,2,0,0,0,0,0,5
Vann Yuhas,Merrimack,F,16,16,2,0,2,0,1,0,0,21,2
Ryan Keyes,Merrimack,G,5,0,0,0,0,0,0,0,0,0,0
Nathan King,Merrimack,D,9,22,0,2,2,0,0,0,0,2,6
