PLAYER,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ATTEMPTS,SHOT ON NET,FACEOFF WINS,TOTAL FACEOFF,BLOCKS,PLSMNS,Opponent Score
Nick Marciano,30,4,10,14,2,1,0,0,114,51,0,0,34,-5,86
Jaxson Ezman,30,7,8,15,1,2,0,0,97,53,28,60,23,-2,86
Brendan Wang,24,1,1,2,1,0,0,0,37,18,0,0,10,0,73
Ian Devlin,30,1,3,4,0,0,0,0,55,23,1,1,16,3,86
Carson Buydens,29,1,3,4,0,0,0,0,71,32,150,308,22,-5,83
Joshua Karnish,29,1,2,3,0,0,0,0,52,32,1,7,12,-4,82
Jake Manfre,30,8,9,17,3,2,0,0,101,54,2,2,17,-1,86
Drew Garzone,25,1,3,4,0,0,0,0,52,31,171,308,10,3,66
Miles Gunty,29,3,7,10,0,0,0,0,79,35,3,7,22,-4,82
Luc Pelletier,29,3,5,8,1,0,0,0,47,29,155,309,8,-7,83
Michael Young,11,0,2,2,0,0,0,0,13,8,0,0,1,-1,34
Arthur Smith,13,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Kai Greaves,29,2,1,3,0,0,0,0,73,26,0,0,30,-10,82
Julian Facchinelli,2,0,0,0,0,0,0,0,2,2,2,2,0,0,3
Pat Reilly,9,0,0,0,0,0,0,0,7,2,0,0,3,-1,27
Nick Poisson,37,8,8,16,0,2,1,1,119,69,12,30,16,3,96
Chase Yoder,37,5,5,10,1,0,0,2,147,92,366,617,20,5,96
Connor Kelley,37,1,3,4,0,0,0,0,69,41,0,0,14,4,96
Ryan O'Reilly,26,6,3,9,0,0,0,0,54,40,3,7,5,10,65
Cam Gendron,7,0,0,0,0,0,0,0,6,3,26,57,1,0,15
Logan Will,37,8,16,24,3,3,0,0,123,73,302,553,14,10,96
Guillaume Richard,37,2,12,14,0,0,1,0,116,61,0,0,30,7,96
Taige Harding,37,2,12,14,0,1,0,1,67,32,0,0,20,9,96
Austen May,34,1,13,14,1,0,0,0,134,61,0,0,39,7,92
Philip SvedebÃ¤ck,26,0,2,2,0,0,0,0,0,0,0,0,0,0,70
Hudson Malinoski,35,11,12,23,4,2,0,0,148,67,192,357,30,-7,89
Graham Gamache,37,10,10,20,0,1,2,0,110,72,119,217,14,4,96
Tanner Adams,37,11,11,22,2,3,0,2,130,79,8,14,21,0,96
Andrew Centrella,34,2,12,14,0,0,0,0,73,27,0,0,25,-6,89
Tomas Machu,30,2,4,6,0,2,0,0,63,23,0,0,18,2,74
Alexander Bales,32,2,3,5,0,1,0,0,73,34,0,0,21,2,85
Will Elger,36,8,10,18,2,1,0,0,122,62,3,11,27,5,91
Trevor Connelly,23,4,9,13,1,1,0,0,148,63,2,6,49,-13,69
Logan Sawyer,37,6,10,16,2,2,0,0,152,106,5,8,22,7,96
John Mustard,37,7,13,20,2,1,0,0,200,108,5,9,44,1,96
Aleksi Kivioja,28,3,5,8,0,0,0,2,52,31,76,140,7,8,74
Braiden Clark,16,1,2,3,0,0,0,0,30,18,65,122,5,4,34
Zachary Borgiel,12,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Carl Fish,9,0,0,0,0,0,0,0,11,5,0,0,4,-3,20
Clint Levens,22,3,3,6,0,1,0,0,37,25,0,4,3,2,64
Jack Agnew,20,1,2,3,0,0,0,0,31,15,0,0,11,-5,76
Elliott McDermott,35,3,15,18,1,0,0,0,125,64,0,0,37,0,131
Jakob Lee,35,13,7,20,1,2,0,2,107,62,351,645,18,6,131
Dovar Tinling,32,10,10,20,2,1,0,2,88,53,257,475,19,-1,122
John Beaton,34,6,13,19,3,2,0,1,93,58,75,127,20,-10,130
Jack Brackett,35,6,11,17,0,2,1,0,101,56,3,10,20,4,131
Jake Gagnon,33,8,7,15,1,1,0,0,125,68,0,3,30,-6,124
Arvils Bergmanis,35,4,4,8,2,0,0,0,117,52,0,0,39,-10,131
Noah Giesbrecht,30,0,1,1,0,0,0,0,0,0,0,0,0,0,110
William Gilson,35,8,16,24,1,1,0,0,173,95,0,0,50,6,131
Max Smolinski,35,5,10,15,1,0,0,0,167,74,0,0,63,-3,131
Nathan Sullivan,20,2,2,4,0,0,0,0,19,8,1,1,7,1,77
Tyler Hotson,35,6,16,22,1,0,0,0,121,60,5,12,36,3,131
Brad McNeil,35,2,3,5,0,0,0,1,45,31,131,295,2,-4,131
Jeremie Payant,32,3,3,6,0,0,0,0,65,40,31,67,11,-7,115
Jimmy Goffredo,35,2,3,5,0,0,0,0,86,40,0,0,27,-9,131
